ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
ERA15LA231,1,6/2/2015,6,Tuesday,354214N,0793016W,Siler City,NC,USA,1,1,FATL,SUBS,091 ,AIR ,PERS,LOC-I,APR
GAA15CA099,1,5/28/2015,5,Thursday,405116N,0775025W,State College,PA,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-I,APR
GAA15CA103,1,5/12/2015,5,Tuesday,465122N,0995500E,Steele,ND,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
CEN15LA250,1,5/27/2015,5,Wednesday,410909N,1040805E,Pine Bluffs,WY,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,LOC-G,LDG
GAA15CA104,1,5/30/2015,5,Saturday,261327N,0973925W,Harlingen,TX,USA,0,0,NONE,SUBS,091 ,AIR ,INST,LOC-G,LDG
WPR15LA175,1,6/2/2015,6,Tuesday,364408N,1194925W,Fresno,CA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
GAA15CA105,1,6/3/2015,6,Wednesday,402325N,0860900W,Sharpsville,IN,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-I,TOF
WPR15LA177,1,6/1/2015,6,Monday,341836N,1120712W,Dewey,AZ,USA,0,0,NONE,SUBS,091 ,HELI,FERY,SCF-PP,ENR
WPR15LA178,1,5/31/2015,5,Sunday,451236N,1172248E,Cove,OR,USA,0,0,NONE,SUBS,133 ,HELI,EXLD,SCF-PP,MNV
CEN15LA253,1,6/3/2015,6,Wednesday,352852N,1055122W,Lamy,NM,USA,1,0,FATL,DEST,091 ,GLI ,PERS,LOC-I,ENR
GAA15CA107,1,6/4/2015,6,Thursday,463616N,1175232W,Hay,WA,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
CEN15WA254,1,5/24/2015,5,Sunday,523249N,0064835E,Carlow,,EI,2,0,FATL,DEST,NUSN,AIR ,,CFIT,ENR
CEN15FA257,1,6/5/2015,6,Friday,393829N,1065415W,"Eagle, CO",CO,USA,1,1,FATL,SUBS,091 ,AIR ,PERS,LOC-I,LDG
CEN15FA255,1,6/5/2015,6,Friday,364259N,1040760W,Raton,NM,USA,2,0,FATL,SUBS,PUBU,AIR ,PUBF,LOC-I,MNV
WPR15LA179,1,5/29/2015,5,Friday,333122N,1121726W,Glendale,AZ,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
GAA15CA106,1,6/3/2015,6,Wednesday,334944N,1163025W,Palm Springs,CA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
WPR15LA180,1,6/8/2015,6,Monday,394045N,1195200W,Reno,NV,USA,0,0,NONE,DEST,091 ,AIR ,PERS,F-NI,APR
ANC15LA035,1,6/4/2015,6,Thursday,612724N,1422817W,McCarthy,AK,USA,1,0,FATL,MINR,091 ,AIR ,INST,RAMP,STD
GAA15CA108,1,6/4/2015,6,Thursday,325843N,0932433W,Springhill,LA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,WILD,LDG
CEN15FA264,1,6/8/2015,6,Monday,434960N,1012950W,Kadoka,SD,USA,1,0,FATL,SUBS,137 ,AIR ,AAPL,LOC-I,ICL
GAA15CA110,1,5/24/2015,5,Sunday,335814N,1124742W,Wickenburg,AZ,USA,0,0,NONE,SUBS,091 ,AIR ,INST,GCOL,TXI
CEN15LA265,1,6/8/2015,6,Monday,293704N,0922112W,Pecan Island,LA,USA,0,0,NONE,SUBS,135 ,HELI,,SCF-NP,ENR
GAA15CA111,1,6/5/2015,6,Friday,264409N,0810307W,Clewiston,FL,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
ANC15WA036,1,6/1/2015,6,Monday,,,Sikanni Chief,BC,CA,2,0,FATL,DEST,091 ,AIR ,PERS,CFIT,ENR
ANC15LA037,1,6/4/2015,6,Thursday,615758N,1511115W,Skwentna,AK,USA,0,0,NONE,SUBS,135 ,AIR ,,SCF-NP,ENR
GAA15CA112,1,6/6/2015,6,Saturday,380739N,0914610W,Vichey,MO,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
GAA15CA113,1,6/9/2015,6,Tuesday,350712N,1190712W,Bakersfield,CA,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,LOC-G,LDG
GAA15CA114,1,6/9/2015,6,Tuesday,344246N,0913147W,Tollville,AR,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,RE,LDG
WPR15FA181,1,6/10/2015,6,Wednesday,475329N,1221703W,Everett,WA,USA,1,1,FATL,SUBS,091 ,AIR ,INST,SCF-PP,TOF
ANC15CA038,1,6/6/2015,6,Saturday,621918N,1500538W,Talkeetna,AK,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
GAA15CA117,1,6/9/2015,6,Tuesday,440624N,1022053W,Wall,SD,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,RE,TOF
GAA15CA118,1,6/4/2015,6,Thursday,425519N,0783647W,Lancaster,NY,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
GAA15CA119,1,5/28/2015,5,Thursday,404621N,0802329W,Beaver Falls,PA,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
CEN15FA267,1,6/12/2015,6,Friday,372352N,0921230W,Huggins,MO,USA,4,1,FATL,DEST,091 ,AIR ,PERS,LOC-I,ICL
GAA15CA120,1,6/11/2015,6,Thursday,475437N,1221708W,Everett,WA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
CEN15FA268,1,6/14/2015,6,Sunday,380442N,0912613W,Cuba,MO,USA,1,0,FATL,DEST,091 ,AIR ,PERS,AMAN,ENR
WPR15LA183,1,6/11/2015,6,Thursday,322648N,1110010W,Tucson,AZ,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-NP,LDG
CEN15FA269,1,6/14/2015,6,Sunday,301403N,0985409W,Fredericksburg,TX,USA,1,1,FATL,SUBS,091 ,AIR ,PERS,FUEL,ICL
WPR15LA184,1,6/11/2015,6,Thursday,353045N,1212936W,Sacramento,CA,USA,0,0,NONE,SUBS,135 ,AIR ,,ARC,TXI
WPR15LA185,1,6/13/2015,6,Saturday,384518N,1094517W,Moab,UT,USA,0,0,NONE,SUBS,091 ,AIR ,SKYD,SCF-PP,APR
GAA15CA121,1,6/13/2015,6,Saturday,450000N,1110000W,Bozeman ,MT,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
