PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
-0.899227985,-0.322728625,WPR15LA246,1,8/16/2015,8,Sunday,481702N,1152925W,Libby,MT,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.680568857,1.130257057,GAA15CA233,1,8/18/2015,8,Tuesday,343913N,1122510W,Prescott,AZ,USA,0,0,NONE,SUBS,91,HELI,INST,LOC-I,TXI
1.311924827,0.763871412,CEN15LA367,1,8/18/2015,8,Tuesday,350949N,0911325W,Wiville,AR,USA,1,0,FATL,DEST,137,AIR ,AAPL,LALT,MNV
0.212965503,-0.42041605,WPR15FA247,1,8/19/2015,8,Wednesday,463919N,1113331W,Townsend,MT,USA,2,0,FATL,SUBS,91,AIR ,PERS,UIMC,ENR
1.12558814,1.475358038,CEN15LA370,1,8/18/2015,8,Tuesday,432155N,0920759W,Cresco,IA,USA,0,0,NONE,SUBS,137,HELI,AAPL,SCF-PP,MNV
-0.885921928,-0.095400642,CEN15CA373,1,7/17/2015,7,Friday,401357N,0853815W,Alexandria,IN,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
0.839306447,-0.842532227,CEN15FA374,1,8/23/2015,8,Sunday,331315N,0924848W,El Dorado,AR,USA,1,0,FATL,DEST,91,AIR ,PERS,SCF-PP,APR
-0.881459198,-0.141411332,GAA15CA235,1,8/19/2015,8,Wednesday,481043N,1141813W,Kalispell,MT,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
-0.453782744,-0.072823888,CEN15LA376,1,8/23/2015,8,Sunday,300643N,0960217W,Hempstead,TX,USA,1,0,FATL,SUBS,91,GLI ,PERS,CTOL,LDG
0.316998675,-0.349851747,ANC15FA066,1,8/22/2015,8,Saturday,601820N,1512245W,Kasilof,AK,USA,2,0,FATL,SUBS,91,AIR ,PERS,SCF-PP,MNV
0.867258174,1.073600807,CEN15LA377,1,8/12/2015,8,Wednesday,422533N,0945742W,Sac City,IA,USA,0,0,NONE,SUBS,137,AIR ,AAPL,SCF-PP,MNV
